,Word,NumberOfMeanings,POS,Term1,Term2,Term3,Term4,Term5,Term6,Unnamed: 9
204,add,7,(verb),append,supply,state (generic term),say (generic term),tell (generic term),,
205,add,7,(verb),lend,impart,bestow,contribute,bring,change (generic term),
206,add,7,(verb),add together,calculate (generic term),cipher (generic term),cypher (generic term),compute (generic term),work out (generic term),
207,add,7,(verb),total,tot,tot up,sum,sum up,summate,
208,add,7,(verb),form (generic term),constitute (generic term),make (generic term),,,,
209,addition,6,(noun),add-on,improver,component (generic term),constituent (generic term),element (generic term),,
210,addition,6,(noun),increase (generic term),step-up (generic term),subtraction (antonym),,,,
211,addition,6,(noun),increase,gain,indefinite quantity (generic term),,,,
212,addition,6,(noun),accession,acquisition (generic term),,,,,
213,addition,6,(noun),suburb (generic term),suburbia (generic term),suburban area (generic term),,,,
214,addition,6,(noun),summation,plus,arithmetic operation (generic term),,,,
215,additional,1,(adj),extra,additive (similar term),,,,,
216,address,18,(noun),computer address,code (generic term),computer code (generic term),,,,
217,address,18,(noun),geographic point (generic term),geographical point (generic term),,,,,
218,address,18,(noun),speech,speech act (generic term),,,,,
219,address,18,(noun),manner of speaking (generic term),speech (generic term),delivery (generic term),,,,
220,address,18,(noun),street sign (generic term),,,,,,
221,address,18,(noun),destination,name and address,direction (generic term),instruction (generic term),,,
222,address,18,(noun),stance (generic term),,,,,,
223,address,18,(noun),savoir-faire,tact (generic term),tactfulness (generic term),,,,
224,address,18,(verb),turn to,communicate (generic term),intercommunicate (generic term),,,,
225,address,18,(verb),speak,,,,,,
226,address,18,(verb),direct,label (generic term),,,,,
227,address,18,(verb),target (generic term),aim (generic term),place (generic term),direct (generic term),point (generic term),,
228,address,18,(verb),use (generic term),utilize (generic term),utilise (generic term),apply (generic term),employ (generic term),,
229,address,18,(verb),call,address (generic term),turn to (generic term),,,,
230,address,18,(verb),access (generic term),,,,,,
231,address,18,(verb),cover,treat,handle,plow,deal,broach (generic term),
232,address,18,(verb),accost,come up to,come (generic term),come up (generic term),,,
233,address,18,(verb),align (generic term),aline (generic term),line up (generic term),adjust (generic term),,,
234,adequate,3,(adj),adequate to (similar term),capable (similar term),equal to (similar term),up to (similar term),competent (similar term),satisfactory (related term),
235,adequate,3,(adj),decent,enough,sufficient (similar term),,,,
236,adequate,3,(adj),passable,fair to middling,tolerable,satisfactory (similar term),,,
237,adjust,5,(verb),set,correct,change (generic term),alter (generic term),modify (generic term),,
238,adjust,5,(verb),align,aline,line up,reorient (generic term),skew (antonym),,
239,adjust,5,(verb),conform,adapt,change (generic term),,,,
240,adjust,5,(verb),adapt (generic term),accommodate (generic term),,,,,
241,adjust,5,(verb),decide (generic term),settle (generic term),resolve (generic term),adjudicate (generic term),,,
242,adjustment,5,(noun),accommodation,fitting,improvement (generic term),betterment (generic term),advance (generic term),,
243,adjustment,5,(noun),alteration,modification,change (generic term),,,,
244,adjustment,5,(noun),registration,readjustment,calibration (generic term),standardization (generic term),standardisation (generic term),,
245,adjustment,5,(noun),adaptation,adaption,organic process (generic term),biological process (generic term),,,
246,adjustment,5,(noun),allowance,recompense (generic term),,,,,
247,administration,4,(noun),disposal,management (generic term),direction (generic term),,,,
248,administration,4,(noun),governance,governing body,establishment,brass,organization,organisation,
249,administration,4,(noun),giving medication,medication (generic term),,,,,
250,administration,4,(noun),presidency,presidential term,tenure (generic term),term of office (generic term),incumbency (generic term),,
251,administrator,3,(noun),decision maker,head (generic term),chief (generic term),top dog (generic term),,,
252,administrator,3,(noun),fiduciary (generic term),,,,,,
253,administrator,3,(noun),executive,head (generic term),chief (generic term),top dog (generic term),,,
254,admire,2,(verb),look up to,respect (generic term),esteem (generic term),value (generic term),prize (generic term),prise (generic term),
255,admire,2,(verb),look (generic term),,,,,,
256,admission,3,(noun),admittance,entrance (generic term),entering (generic term),entry (generic term),ingress (generic term),incoming (generic term),
257,admission,3,(noun),acknowledgment (generic term),acknowledgement (generic term),,,,,
258,admission,3,(noun),entrance fee,admission charge,admission fee,admission price,price of admission,entrance money,
259,admit,7,(verb),acknowledge,declare (generic term),adjudge (generic term),hold (generic term),deny (antonym),,
260,admit,7,(verb),allow in,let in,intromit,permit (generic term),allow (generic term),let (generic term),
261,admit,7,(verb),let in,include,permit (generic term),allow (generic term),let (generic term),countenance (generic term),
262,admit,7,(verb),accept,take,take on,accept (generic term),take (generic term),have (generic term),
263,admit,7,(verb),allow,,,,,,
264,admit,7,(verb),accommodate,hold,,,,,
265,admit,7,(verb),serve (generic term),do (generic term),,,,,
266,adolescent,5,(adj),time of life (related term),,,,,,
267,adolescent,5,(adj),teen,teenage,teenaged,young (similar term),immature (similar term),,
268,adolescent,5,(adj),jejune,juvenile,puerile,immature (similar term),,,
269,adolescent,5,(adj),immature (similar term),,,,,,
270,adolescent,5,(noun),stripling,teenager,teen,juvenile (generic term),juvenile person (generic term),,
271,adopt,7,(verb),follow,espouse,choose (generic term),take (generic term),select (generic term),pick out (generic term),
272,adopt,7,(verb),borrow,take over,take up,accept (generic term),take (generic term),have (generic term),
273,adopt,7,(verb),assume,take on,take over,take office (generic term),,,
274,adopt,7,(verb),assume,acquire,take on,take,change (generic term),,
275,adopt,7,(verb),take in,take (generic term),,,,,
276,adopt,7,(verb),dramatize,dramatise,write (generic term),compose (generic term),pen (generic term),indite (generic term),
277,adopt,7,(verb),espouse,embrace,sweep up,accept (generic term),,,
278,adult,3,(adj),big,full-grown,fully grown,grown,grownup,mature (similar term),
279,adult,3,(noun),grownup,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term),
280,adult,3,(noun),animal (generic term),animate being (generic term),beast (generic term),brute (generic term),creature (generic term),fauna (generic term),
281,advance,20,(adj),beforehand,early (similar term),,,,,
282,advance,20,(adj),advanced,in advance,front (similar term),,,,
283,advance,20,(noun),progress,progression,change of location (generic term),travel (generic term),,,
284,advance,20,(noun),improvement,betterment,transformation (generic term),transmutation (generic term),shift (generic term),,
285,advance,20,(noun),overture,approach,feeler,suggestion (generic term),proposition (generic term),proffer (generic term),
286,advance,20,(noun),progress,progression,procession,advancement,forward motion,onward motion,
287,advance,20,(noun),cash advance,sum (generic term),sum of money (generic term),amount (generic term),amount of money (generic term),,
288,advance,20,(noun),rise,increase (generic term),step-up (generic term),,,,
289,advance,20,(verb),progress,pass on,move on,march on,go on,travel (generic term),
290,advance,20,(verb),throw out,propose (generic term),suggest (generic term),advise (generic term),,,
291,advance,20,(verb),boost,supercharge,increase (generic term),,,,
292,advance,20,(verb),promote,boost,further,encourage,support (generic term),back up (generic term),
293,advance,20,(verb),bring forward,move (generic term),displace (generic term),back (antonym),,,
294,advance,20,(verb),gain,win,pull ahead,make headway,get ahead,gain ground,
295,advance,20,(verb),progress,come on,come along,get on,get along,shape up,
296,advance,20,(verb),better (generic term),improve (generic term),amend (generic term),ameliorate (generic term),meliorate (generic term),,
297,advance,20,(verb),promote,upgrade,kick upstairs,raise,elevate,delegate (generic term),
298,advance,20,(verb),lend (generic term),loan (generic term),,,,,
299,advance,20,(verb),set ahead,set (generic term),,,,,
300,advance,20,(verb),gain,wax (generic term),mount (generic term),climb (generic term),rise (generic term),,
301,advanced,8,(adj),precocious (similar term),,,,,,
302,advanced,8,(adj),late (similar term),later (similar term),,,,,
303,advanced,8,(adj),forward-looking,innovative,modern,progressive (similar term),,,
304,advanced,8,(adj),high (similar term),,,,,,
305,advanced,8,(adj),sophisticated,high-tech (similar term),hi-tech (similar term),,,,
306,advanced,8,(adj),ripe,late (similar term),,,,,
307,advanced,8,(adj),civilized (similar term),civilised (similar term),,,,,
308,advanced,8,(adj),advance,in advance,front (similar term),,,,
309,advantage,4,(noun),vantage,asset (generic term),plus (generic term),disadvantage (antonym),,,
310,advantage,4,(noun),point (generic term),,,,,,
311,advantage,4,(noun),reward,benefit (generic term),welfare (generic term),penalty (antonym),,,
312,advantage,4,(verb),prefer (generic term),favor (generic term),favour (generic term),disadvantage (antonym),,,
313,adventure,3,(noun),escapade,risky venture,dangerous undertaking,undertaking (generic term),project (generic term),task (generic term),
314,adventure,3,(verb),gamble,chance,risk,hazard,take chances,run a risk,
315,adventure,3,(verb),venture,hazard,stake,jeopardize,risk (generic term),put on the line (generic term),
316,advertising,2,(noun),ad,advertisement,advertizement,advertizing,advert,promotion (generic term),
317,advertising,2,(noun),publicizing,commercial enterprise (generic term),business enterprise (generic term),business (generic term),,,
318,advice,1,(noun),proposal (generic term),,,,,,
319,advise,3,(verb),rede,counsel,hash out (generic term),discuss (generic term),talk over (generic term),,
320,advise,3,(verb),notify,give notice,send word,apprise,apprize,inform (generic term),
321,advise,3,(verb),propose,suggest,declare (generic term),,,,
322,adviser,1,(noun),advisor,consultant,authority (generic term),,,,
323,advocate,4,(noun),advocator,proponent,exponent,person (generic term),individual (generic term),someone (generic term),
324,advocate,4,(noun),counsel,counselor,counsellor,counselor-at-law,pleader,lawyer (generic term),
325,advocate,4,(verb),recommend,urge,propose (generic term),suggest (generic term),advise (generic term),,
326,advocate,4,(verb),preach,urge (generic term),urge on (generic term),press (generic term),exhort (generic term),,
327,affair,3,(noun),matter,thing,concern (generic term),,,,
328,affair,3,(noun),affaire,intimacy,liaison,involvement,amour,sexual relationship (generic term),
329,affair,3,(noun),occasion,social occasion,function,social function,social event (generic term),,
330,affect,6,(noun),feeling (generic term),,,,,,
331,affect,6,(verb),impact,bear upon,bear on,touch on,touch,change (generic term),
332,affect,6,(verb),change (generic term),alter (generic term),modify (generic term),,,,
333,affect,6,(verb),involve,regard,refer (generic term),pertain (generic term),relate (generic term),concern (generic term),
334,affect,6,(verb),feign,sham,pretend,dissemble,misrepresent (generic term),belie (generic term),
335,affect,6,(verb),impress,move,strike,,,,
336,afford,3,(verb),spend (generic term),expend (generic term),drop (generic term),,,,
337,afford,3,(verb),yield,give,supply (generic term),provide (generic term),render (generic term),furnish (generic term),
338,afford,3,(verb),open,give,,,,,
339,afraid,4,(adj),acrophobic (similar term),afeard (similar term),afeared (similar term),aghast (similar term),appalled (similar term),dismayed (similar term),
340,afraid,4,(adj),concerned (similar term),,,,,,
341,afraid,4,(adj),concerned (similar term),,,,,,
342,afraid,4,(adj),disinclined (similar term),,,,,,
343,after,2,(adj),aft (similar term),,,,,,
344,after,2,(adv),subsequently,later,afterwards,afterward,later on,,
345,afternoon,2,(noun),day (generic term),daytime (generic term),daylight (generic term),,,,
346,afternoon,2,(noun),good afternoon,greeting (generic term),salutation (generic term),farewell (generic term),word of farewell (generic term),,
347,again,1,(adv),once again,once more,over again,,,,
348,age,8,(noun),property (generic term),,,,,,
349,age,8,(noun),historic period,era (generic term),epoch (generic term),,,,
350,age,8,(noun),eld,time of life (generic term),,,,,
351,age,8,(noun),old age,years,eld,geezerhood,time of life (generic term),,
352,age,8,(noun),long time,years,time period (generic term),period of time (generic term),period (generic term),,
353,age,8,(verb),develop (generic term),,,,,,
354,age,8,(verb),senesce,get on,mature,maturate,develop (generic term),,
355,age,8,(verb),change (generic term),alter (generic term),modify (generic term),rejuvenate (antonym),,,
356,agency,5,(noun),federal agency,government agency,bureau,office,authority,administrative unit (generic term),
357,agency,5,(noun),business (generic term),concern (generic term),business concern (generic term),business organization (generic term),business organisation (generic term),,
358,agency,5,(noun),action (generic term),activity (generic term),activeness (generic term),,,,
359,agency,5,(noun),representation,delegacy,state (generic term),,,,
360,agency,5,(noun),means,way,implementation (generic term),effectuation (generic term),,,
361,agenda,2,(noun),docket,schedule,plan (generic term),program (generic term),programme (generic term),,
362,agenda,2,(noun),agendum,order of business,list (generic term),listing (generic term),,,
363,agent,6,(noun),causal agent (generic term),cause (generic term),causal agency (generic term),,,,
364,agent,6,(noun),causal agent (generic term),cause (generic term),causal agency (generic term),,,,
365,agent,6,(noun),representative (generic term),,,,,,
366,agent,6,(noun),factor,broker,businessperson (generic term),bourgeois (generic term),,,
367,agent,6,(noun),federal agent,official (generic term),functionary (generic term),,,,
368,agent,6,(noun),agentive role,semantic role (generic term),participant role (generic term),,,,
369,aggressive,3,(adj),assertive (similar term),self-asserting (similar term),self-assertive (similar term),battleful (similar term),bellicose (similar term),combative (similar term),
370,aggressive,3,(adj),fast-growing,strong-growing,invasive (similar term),,,,
371,aggressive,3,(adj),belligerent,hostile (similar term),,,,,
372,ago,1,(adj),agone,past (similar term),,,,,
373,agree,5,(verb),hold,concur,concord,disagree (antonym),,,
374,agree,5,(verb),accept (generic term),consent (generic term),go for (generic term),,,,
375,agree,5,(verb),match,fit,correspond,check,jibe,gibe,
376,agree,5,(verb),harmonize,harmonise,consort,accord,concord,fit in,
377,agree,5,(verb),suit (generic term),,,,,,
378,agreement,6,(noun),understanding,statement (generic term),,,,,
379,agreement,6,(noun),correspondence,compatibility (generic term),,,,,
380,agreement,6,(noun),accord,harmony (generic term),concord (generic term),concordance (generic term),disagreement (antonym),,
381,agreement,6,(noun),arrangement,planning (generic term),preparation (generic term),provision (generic term),,,
382,agreement,6,(noun),concord,grammatical relation (generic term),,,,,
383,agreement,6,(noun),speech act (generic term),disagreement (antonym),,,,,
384,agricultural,2,(adj),cultivation (related term),,,,,,
385,agricultural,2,(adj),agrarian,farming,rural (similar term),,,,
386,ahead,6,(adj),in the lead,leading,up (similar term),,,,
387,ahead,6,(adv),in front,before,,,,,
388,ahead,6,(adv),forward,backward (antonym),back (antonym),,,,
389,ahead,6,(adv),onward,onwards,forward,forwards,forrader,,
390,ahead,6,(adv),in advance,beforehand,,,,,
391,ahead,6,(adv),out front,in the lead,,,,,
392,aid,6,(noun),assistance,help,resource (generic term),,,,
393,aid,6,(noun),assist,assistance,help,activity (generic term),,,
394,aid,6,(noun),economic aid,gift (generic term),,,,,
395,aid,6,(noun),care,attention,tending,work (generic term),,,
396,aid,6,(verb),help,assist,support (generic term),back up (generic term),,,
